Temp, photo, Light
25,67,Off
20,68,Off
21,70,Off
21,72,Off
21,72,Off
21,70,Off
20,68,Off
20,66,Off
21,67,Off
21,69,Off
21,72,Off
21,71,Off
21,69,Off
21,67,Off
21,70,Off
21,69,Off
21,68,Off
21,68,Off
20,67,Off
21,71,Off
21,67,Off
21,73,Off
21,70,Off
21,72,Off
21,70,Off
21,70,Off
21,68,Off
21,69,Off
21,70,Off
21,73,Off
21,70,Off
21,68,Off
21,67,Off
21,73,Off
21,69,Off
21,70,Off
21,72,Off
21,68,Off
21,71,Off
21,69,Off
21,68,Off
21,67,Off
21,71,Off
21,71,Off
21,70,Off
21,72,Off
21,68,Off
20,69,Off
21,71,Off
21,72,Off
21,68,Off
21,71,Off
21,69,Off
21,71,Off
21,70,Off
21,69,Off
21,73,Off
21,70,Off
20,70,Off
21,71,Off
21,70,Off
21,69,Off
21,74,Off
21,67,Off
21,70,Off
21,71,Off
21,71,Off
21,76,Off
21,72,Off
21,72,Off
21,73,Off
21,75,Off
21,73,Off
21,71,Off
21,72,Off
21,74,Off
21,75,Off
21,76,Off
21,74,Off
21,78,Off
21,80,Off
21,81,Off
21,80,Off
21,78,Off
20,78,Off
21,81,Off
21,80,Off
21,79,Off
21,78,Off
21,76,Off
21,79,Off
21,80,Off
21,82,Off
21,84,Off
21,80,Off
21,86,Off
21,83,Off
21,83,Off
21,84,Off
21,84,Off
21,82,Off
21,87,Off
21,85,Off
21,88,Off
21,84,Off
20,84,Off
21,83,Off
21,90,Off
21,85,Off
21,82,Off
20,82,Off
21,80,Off
21,87,Off
21,88,Off
21,86,Off
21,87,Off
21,87,Off
21,88,Off
21,88,Off
21,88,Off
21,90,Off
21,91,Off
21,88,Off
21,87,Off
20,86,Off
21,86,Off
21,91,Off
21,91,Off
21,91,Off
21,86,Off
21,86,Off
21,90,Off
21,94,Off
21,91,Off
21,90,Off
21,86,Off
21,86,Off
21,91,Off
21,94,Off
21,93,Off
21,92,Off
21,90,Off
21,88,Off
21,93,Off
21,93,Off
21,94,Off
20,88,Off
21,90,Off
21,89,Off
21,91,Off
21,95,Off
21,94,Off
21,92,Off
21,91,Off
21,94,Off
21,91,Off
21,92,Off
20,91,Off
20,90,Off
21,91,Off
21,93,Off
21,92,Off
21,89,Off
21,92,Off
21,91,Off
21,94,Off
21,93,Off
21,90,Off
21,90,Off
20,90,Off
20,93,Off
21,92,Off
21,93,Off
21,90,Off
21,87,Off
21,90,Off
21,94,Off
21,93,Off
21,90,Off
21,88,Off
21,89,Off
21,91,Off
21,92,Off
21,92,Off
21,91,Off
21,91,Off
21,91,Off
21,90,Off
21,92,Off
21,91,Off
21,95,Off
21,93,Off
21,90,Off
21,87,Off
21,87,Off
21,91,Off
21,92,Off
21,95,Off
21,92,Off
20,90,Off
21,90,Off
21,91,Off
21,89,Off
21,94,Off
21,89,Off
21,87,Off
20,89,Off
21,89,Off
21,95,Off
21,92,Off
21,92,Off
21,91,Off
21,91,Off
21,93,Off
21,92,Off
21,91,Off
21,90,Off
21,95,Off
21,89,Off
21,92,Off
21,90,Off
21,90,Off
21,91,Off
21,94,Off
21,93,Off
21,90,Off
20,89,Off
